participant,target_distr_rel,be_c
S1,T>D,17.3493280647117
S1,T>D,20.5314577897251
S1,T>D,-7.37308293230604
S1,T<D,7.18961706769397
S1,T>D,-12.5638755674057
S1,T>D,16.8535974343842
S1,T>D,-1.19435475036208
S1,T<D,-17.1278690435866
S1,T<D,15.1111865973072
S1,T<D,-0.0200920815715022
S1,T<D,6.25501942254907
S1,T<D,-13.4055392691048
S1,T>D,-7.51806873232875
S1,T>D,-10.626205979937
S1,T<D,-13.105546886535
S1,T>D,12.5348467006719
S1,T<D,-9.99188728847681
S1,T<D,5.07611718341175
S1,T>D,-17.1072238236872
S1,T>D,-7.12103135283498
S1,T<D,8.30104553997546
S1,T<D,13.1683790510899
S1,T<D,8.50351642952745
S1,T<D,4.27712806471164
S1,T<D,2.92901486180741
S1,T<D,-10.7749768214088
S1,T>D,-14.7472705955136
S1,T>D,-7.40326121725898
S1,T<D,-10.4156666856657
S1,T<D,-2.07553926910474
S1,T>D,4.60071486180739
S1,T<D,19.6199706704513
S1,T<D,-10.0422448958945
S1,T<D,6.26147857598785
S1,T>D,-5.1373186037111
S1,T<D,3.05564040247985
S1,T<D,5.81209016693442
S1,T>D,-0.172213402692817
S1,T<D,13.787149620112
S1,T<D,10.8527455399755
S1,T<D,1.8986079184285
S1,T<D,23.8726718451832
S1,T<D,6.25925882027484
S1,T<D,-8.59169111677173
S1,T<D,15.6491455399754
S1,T<D,-21.009352747421
S1,T>D,15.7664636982273
S1,T>D,-3.8047186037111
S1,T>D,1.28511426370183
S1,T<D,7.56934164755673
S1,T>D,2.0194612483258
S1,T>D,1.50142317859118
S1,T>D,1.55564128534472
S1,T<D,-9.93626855202958
S1,T<D,5.86694524963791
S1,T<D,11.9653416475567
S1,T<D,7.23506536192176
S1,T<D,-11.655877433316
S1,T<D,7.13004962537983
S1,T>D,16.1752718451832
S1,T>D,-11.9665620040275
S1,T>D,-1.85661340269281
S1,T>D,-12.0725911167717
S1,T>D,-15.3151532993281
S1,T<D,3.26397905108993
S1,T>D,6.20064040247986
S1,T<D,-4.4839448958945
S1,T>D,2.49529494951508
S1,T<D,-15.9195311068211
S1,T>D,-2.15061340269282
S1,T<D,-21.2978106076816
S1,T<D,8.93434962537981
S1,T>D,15.2585455399754
S1,T>D,6.8035295150925
S1,T<D,-0.485820948910066
S1,T<D,-10.3501503746202
S1,T<D,16.032647252579
S1,T>D,-2.92123450943875
S1,T<D,-23.594905979937
S1,T>D,-15.0972704849075
S1,T<D,15.0219673108885
S1,T>D,6.13540734460644
S1,T<D,-12.2521860399196
S1,T>D,-17.1496911167717
S1,T<D,0.509626187193707
S1,T<D,13.4609673108885
S1,T<D,1.01346549056124
S1,T<D,-10.8724387516742
S1,T>D,10.3505317624253
S1,T>D,3.98973878274102
S1,T>D,-6.71628281658827
S1,T>D,-19.0524897154496
S1,T<D,15.0710653619218
S1,T<D,-16.9645503746202
S1,T<D,-8.74538293230603
S1,T>D,-2.30878971544965
S1,T>D,0.191912711523179
S1,T>D,1.27275311346503
S1,T<D,-4.26730573629815
S1,T<D,-0.582029329548671
S1,T<D,-7.17840998050868
S1,T>D,11.9513688931789
S1,T<D,6.90552713793678
S1,T>D,-18.1788106076816
S1,T<D,5.47445510410548
S1,T<D,2.09856854558852
S1,T>D,21.798722566684
S1,T>D,1.67826864716503
S1,T>D,3.56835311346504
S1,T>D,4.79255778972508
S1,T>D,9.58166759400913
S1,T<D,-17.9034536447189
S1,T>D,23.0584636982273
S1,T<D,1.85506889317887
S1,T>D,-10.8441527474211
S1,T>D,-15.524277433316
S1,T>D,-3.82903268911151
S1,T>D,-4.07587150160447
S1,T>D,-7.02035274742106
S1,T<D,-15.060250379888
S1,T<D,-4.6542233626817
S1,T<D,-10.9902672448107
S1,T>D,-8.55694135385155
S1,T<D,12.3497295150925
S1,T<D,8.20761642952746
S1,T<D,2.89066369822733
S1,T>D,-2.00537175095312
S1,T>D,-8.0466666856657
S1,T>D,-2.25798293230602
S1,T<D,-4.49307175095311
S1,T>D,-15.4113672448106
S1,T>D,-17.509277433316
S1,T<D,9.63587938555931
S1,T>D,-3.98979693859397
S1,T<D,1.93114804843453
S1,T<D,7.469824579438
S1,T>D,2.81613095641341
S1,T<D,-0.437109980508682
S2,T<D,9.4908670861889
S2,T>D,5.55287679421627
S2,T>D,32.5983135420627
S2,T<D,8.81407679421628
S2,T<D,17.1168928836256
S2,T<D,2.0616118392761
S2,T<D,15.8532055937462
S2,T<D,13.4489097463466
S2,T>D,9.23715235047162
S2,T<D,6.80331354206264
S2,T>D,-21.6428881607239
S2,T<D,9.08266242088693
S2,T>D,0.274122219534496
S2,T<D,-21.8268648324989
S2,T>D,-14.068553532558
S2,T<D,-6.57026335896106
S2,T<D,-0.890385172871314
S2,T>D,-2.38704269993721
S2,T>D,6.01458664103896
S2,T>D,-5.32190858804166
S2,T<D,6.73121809800414
S2,T<D,0.695101180282715
S2,T>D,-27.2814814215954
S2,T>D,43.3366416435651
S2,T>D,-3.7405851728713
S2,T>D,25.4567286193925
S2,T<D,0.749309228429337
S2,T>D,15.2563829320488
S2,T>D,-4.89268142159538
S2,T>D,14.6009097463465
S2,T>D,-0.0200897404511537
S2,T<D,-3.46579271910858
S2,T>D,7.21036708618889
S2,T<D,-12.1951535325581
S2,T<D,12.1890286193925
S2,T>D,-1.80625723072885
S2,T>D,27.6242844679049
S2,T>D,13.6099816390392
S2,T<D,-0.570410359512288
S2,T>D,10.6487616861006
S2,T>D,3.34371713121203
S2,T>D,-6.40291910241034
S2,T<D,-14.9815527648435
S2,T<D,3.73179897336767
S2,T<D,7.54489255911826
S2,T<D,-11.0299665718485
S2,T<D,-3.22365503415928
S2,T<D,-9.23452738779542
S2,T>D,2.99897276927114
S2,T<D,26.0818135420627
S2,T<D,21.9314726122046
S2,T<D,-3.76056701990693
S2,T<D,5.54081713121203
S2,T>D,6.03870922842934
S2,T>D,-2.07531767422854
S2,T>D,-2.35187778046551
S2,T<D,4.77066242088695
S2,T>D,10.1983726122046
S2,T>D,3.90066242088694
S2,T<D,3.91556146387552
S2,T<D,-3.92411351727756
S2,T<D,-2.26420102663234
S2,T>D,12.4533914119583
S2,T>D,3.15988964919493
S2,T>D,21.9969118392761
S2,T<D,5.58547679421628
S2,T>D,19.7891544788599
S2,T<D,-13.4186170679512
S2,T<D,4.74130221953451
S2,T<D,-0.107110230728841
S2,T>D,4.30695447231529
S2,T<D,7.52764354942725
S2,T<D,-11.8500995350118
S2,T<D,6.86860527926589
S2,T>D,-3.27163831389938
S2,T<D,6.602819272914
S2,T>D,8.46439047613433
S2,T>D,2.26775249687162
S2,T<D,7.44124818819625
S2,T<D,25.5534883474413
S2,T<D,-10.6931504261161
S2,T>D,3.78038293204877
S2,T>D,14.1871324825573
S2,T<D,7.84934621297506
S2,T>D,19.6031011802827
S2,T>D,2.14384496584073
S2,T<D,12.1529816390392
S2,T<D,-1.07625378702495
S2,T<D,8.63921809800413
S2,T>D,3.30576802178567
S2,T>D,14.6813914119583
S2,T<D,-7.74235835643492
S2,T<D,-17.348482868788
S2,T<D,-4.07580744088174
S2,T>D,5.85729221953449
S2,T<D,12.2208072808914
S2,T<D,-7.07945645057276
S2,T<D,-2.84412320578371
S2,T>D,3.24264354942725
S2,T>D,18.1746962801048
S2,T>D,6.74039141195833
S2,T<D,4.17265903909271
S2,T>D,-6.75028072708599
S2,T>D,-8.61203982133809
S2,T>D,10.8518004594128
S2,T>D,24.6762844679049
S2,T<D,0.303259039092727
S2,T<D,7.91580985466294
S2,T<D,10.5636435494272
S2,T<D,-8.46550744088174
S2,T>D,-17.2542455276847
S2,T<D,-2.89825723072884
S2,T>D,-6.02534552768472
S2,T>D,4.56741459386828
S2,T>D,-16.9352453445822
S2,T<D,-9.13530371989523
